symbol,binance,wazir,variation
KMDUSDT,2.5019,2.518,0.64
SHIBUSDT,1.877e-05,1.889e-05,0.64
LUNAUSDT,16.115,16.192,0.48
ETHUSDT,3991.65,3998.92,0.18
XEMUSDT,0.3135,0.314,0.16
CAKEUSDT,31.073,31.1,0.09
DOGEUSDT,0.53771,0.538,0.05
VETUSDT,0.17997,0.18001,0.02
WINUSDT,0.0008914,0.0008914,0.0
WINUSDT,0.0008914,0.000891,-0.04
BTCUSDT,49286.33,49323.0,-0.07
COMPUSDT,761.06,760.55,-0.07
DOGEUSDT,0.53771,0.5381186,-0.08
WRXUSDT,2.0386,2.0405,-0.09
BTCUSDT,49286.33,49225.0,-0.12
BNTUSDT,7.4088,7.4,-0.12
UNIUSDT,39.047,39.0,-0.12
XTZUSDT,6.2079,6.2,-0.13
RENUSDT,0.81406,0.813,-0.13
FTTUSDT,54.035,53.967,-0.13
GRTUSDT,1.3223,1.32,-0.17
ETHUSDT,3991.65,4000.03,-0.21
FETUSDT,0.45938,0.4604,-0.22
ETCUSDT,99.024,98.8,-0.23
LINKUSDT,45.222,45.116,-0.23
ZECUSDT,294.64,295.43,-0.27
FTMUSDT,0.66758,0.66941,-0.27
ADAUSDT,1.9455,1.9511,-0.29
IOTXUSDT,0.044126,0.044,-0.29
BNBUSDT,587.81,586.06,-0.3
IOSTUSDT,0.050785,0.05094,-0.3
EOSUSDT,10.811,10.7779,-0.31
XTZUSDT,6.2079,6.2282,-0.33
EGLDUSDT,162.52,163.05,-0.33
ZRXUSDT,1.6475,1.6532,-0.34
SNXUSDT,20.401,20.331,-0.34
AIONUSDT,0.4263,0.4248,-0.35
DGBUSDT,0.11657,0.11698,-0.35
ENJUSDT,2.061,2.0536,-0.36
ANKRUSDT,0.13854,0.13804,-0.36
ATOMUSDT,24.267,24.177,-0.37
BANDUSDT,14.728,14.783,-0.37
YFIUSDT,75477.38,75756.27,-0.37
ENJUSDT,2.061,2.0688,-0.38
AVAXUSDT,35.014,35.148,-0.38
RENUSDT,0.81406,0.81723,-0.39
BALUSDT,61.992,62.235,-0.39
VETUSDT,0.17997,0.18069,-0.4
ZILUSDT,0.1942,0.19498,-0.4
IOTXUSDT,0.044126,0.044303,-0.4
CRVUSDT,3.488,3.474,-0.4
DOTUSDT,43.673,43.498,-0.4
INJUSDT,17.278,17.209,-0.4
LINKUSDT,45.222,45.409,-0.41
WAVESUSDT,32.066,31.934,-0.41
ZECUSDT,294.64,293.43,-0.41
ATOMUSDT,24.267,24.366,-0.41
DOCKUSDT,0.09199,0.091614,-0.41
WRXUSDT,2.0386,2.03,-0.42
COSUSDT,0.02544,0.02555,-0.43
FILUSDT,116.33,115.83,-0.43
ZILUSDT,0.1942,0.19333,-0.45
BANDUSDT,14.728,14.662,-0.45
AAVEUSDT,577.61,575.02,-0.45
FILUSDT,116.33,116.85,-0.45
ZRXUSDT,1.6475,1.6399,-0.46
ANKRUSDT,0.13854,0.13918,-0.46
KAVAUSDT,5.45,5.475,-0.46
COMPUSDT,761.06,764.61,-0.46
DOTUSDT,43.673,43.876,-0.46
FETUSDT,0.45938,0.4572,-0.47
FTMUSDT,0.66758,0.66441,-0.47
EGLDUSDT,162.52,161.75,-0.47
HBARUSDT,0.31885,0.31731,-0.48
MANAUSDT,1.2628,1.2567,-0.48
GTOUSDT,0.05871,0.059,-0.49
CRVUSDT,3.488,3.505,-0.49
INJUSDT,17.278,17.363,-0.49
GRTUSDT,1.3223,1.3288,-0.49
KSMUSDT,550.98,553.75,-0.5
UMAUSDT,26.402,26.269,-0.5
BALUSDT,61.992,61.676,-0.51
KSMUSDT,550.98,548.18,-0.51
DGBUSDT,0.11657,0.11595,-0.53
BNBUSDT,587.81,591.0,-0.54
IOSTUSDT,0.050785,0.05051,-0.54
KAVAUSDT,5.45,5.4203,-0.54
FTTUSDT,54.035,54.326,-0.54
LUNAUSDT,16.115,16.202,-0.54
AVAXUSDT,35.014,34.818,-0.56
BNTUSDT,7.4088,7.451,-0.57
SNXUSDT,20.401,20.524,-0.6
HBARUSDT,0.31885,0.32082,-0.61
SCUSDT,0.031261,0.03107,-0.61
MANAUSDT,1.2628,1.2705,-0.61
YFIUSDT,75477.38,74999.85,-0.63
CAKEUSDT,31.073,31.276,-0.65
COSUSDT,0.02544,0.02527,-0.67
DOCKUSDT,0.09199,0.092617,-0.68
UMAUSDT,26.402,26.583,-0.68
CVCUSDT,0.47294,0.47626,-0.7
WAVESUSDT,32.066,32.2999,-0.72
XEMUSDT,0.3135,0.3158,-0.73
SCUSDT,0.031261,0.0315,-0.76
SUSHIUSDT,17.73,17.866,-0.76
CKBUSDT,0.026666,0.026879,-0.79
ADAUSDT,1.9455,1.93,-0.8
AIONUSDT,0.4263,0.4301,-0.88
AVAUSDT,4.844,4.7978,-0.95
ALGOUSDT,1.423,1.409,-0.98
SHIBUSDT,1.877e-05,1.896e-05,-1.0
CKBUSDT,0.026666,0.026378,-1.08
GTOUSDT,0.05871,0.05807,-1.09
SUSHIUSDT,17.73,17.501,-1.29
CVCUSDT,0.47294,0.46599,-1.47
AVAUSDT,4.844,4.9223,-1.59
EOSUSDT,10.811,11.0,-1.72
ALGOUSDT,1.423,1.457,-2.33
ETCUSDT,99.024,102.0,-2.92
UNIUSDT,39.047,40.5,-3.59
AAVEUSDT,577.61,600.0,-3.73
KMDUSDT,2.5019,2.599,-3.74
